Vernier Format 2
Untitled.cmbl 3/17/2022 11:41:28 .
Latest
Time	Potential 1	EKG	Potential 2
t	Pot 1	EKG	Pot 2
s	mV	mV	V

164.605	-0.209594726563	-0.172943021621	2.94387817383
164.61	-0.218139648438	-0.241930048729	2.94509887695
164.615	-0.204788208008	-0.270458618066	2.9426574707
164.62	-0.187698364258	-0.272198880854	2.94143676758
164.625	-0.176788330078	-0.257747204707	2.94143676758
164.63	-0.170684814453	-0.235922311764	2.94143676758
164.635	-0.175567626953	-0.213657288194	2.94143676758
164.64	-0.162139892578	-0.194833799758	2.94143676758
164.645	-0.145126342773	-0.179377842248	2.94021606445
164.65	-0.131698608398	-0.165621499754	2.94021606445
164.655	-0.125595092773	-0.152934145144	2.93899536133
164.66	-0.114685058594	-0.141427816512	2.93655395508
164.665	-0.0939331054688	-0.130380071366	2.93167114258
164.67	-0.0732574462891	-0.118224717816	2.92678833008
164.675	-0.0622711181641	-0.104395867412	2.92190551758
164.68	-0.0464782714844	-0.0895997738114	2.92190551758
164.685	-0.0367126464844	-0.0746438300681	2.92190551758
164.69	-0.0270233154297	-0.0602924980762	2.92190551758
164.695	-0.0258026123047	-0.0474859410511	2.92190551758
164.7	-0.0148162841797	-0.0367358495879	2.9231262207
164.705	0.004638671875	-0.0270133937738	2.92190551758
164.71	0.019287109375	-0.0166128370779	2.92190551758
164.715	0.0411834716797	-0.00453883928854	2.91946411133
164.72	0.0765075683594	0.0104557565646	2.92068481445
164.725	0.0984039306641	0.0293991931511	2.92190551758
164.73	0.130065917969	0.051899564537	2.92068481445
164.735	0.175079345703	0.0780052675217	2.92068481445
164.74	0.233520507813	0.109376625948	2.91946411133
164.745	0.267623901367	0.146590622755	2.92068481445
164.75	0.302947998047	0.187283168038	2.92068481445
164.755	0.344375610352	0.228921134135	2.91946411133
164.76	0.367492675781	0.269858989061	2.9182434082
164.765	0.401596069336	0.308515617847	2.91946411133
164.77	0.425933837891	0.344252790922	2.9182434082
164.775	0.407623291016	0.374933701891	2.9182434082
164.78	0.373596191406	0.395330035078	2.91946411133
164.785	0.332168579102	0.401009316847	2.9182434082
164.79	0.256713867188	0.389529736536	2.91946411133
164.795	0.175079345703	0.35909071111	2.91946411133
164.8	0.114196777344	0.311122647344	2.91702270508
164.805	0.0667419433594	0.251812631125	2.9182434082
164.81	0.0277557373047	0.188883335061	2.91580200195
164.815	-0.0111541748047	0.128205030948	2.91580200195
164.82	-0.0415954589844	0.0730378063208	2.91580200195
164.825	-0.0647125244141	0.0250908131317	2.91702270508
164.83	-0.0732574462891	-0.0143890247941	2.91702270508
164.835	-0.0927124023438	-0.045171817227	2.91458129883
164.84	-0.0914916992188	-0.06812989728	2.91580200195
164.845	-0.0781402587891	-0.0831722373149	2.91458129883
164.85	-0.0610504150391	-0.0894692479885	2.9133605957
164.855	-0.0489196777344	-0.0875509195034	2.91458129883
164.86	-0.0610504150391	-0.0805981724249	2.91213989258
164.865	-0.0586853027344	-0.0729029135637	2.9109954834
164.87	-0.0538024902344	-0.066378609004	2.91213989258
164.875	-0.0525817871094	-0.0610181797983	2.9109954834
164.88	-0.0294647216797	-0.0558149924742	2.91213989258
164.885	-0.0160369873047	-0.0488406456687	2.91213989258
164.89	-0.00505065917969	-0.0394700355307	2.91213989258
164.895	-0.00749206542969	-0.0291295889473	2.90977478027
164.9	-0.00749206542969	-0.0199386924985	2.90977478027
164.905	-0.00627136230469	-0.0130654425723	2.90855407715
164.91	0.00341796875	-0.0080407284162	2.90977478027
164.915	0.019287109375	-0.00316998535393	2.90855407715
164.92	0.014404296875	0.00241212569235	2.90855407715
164.925	-0.00505065917969	0.00669811884257	2.9061126709
164.93	0.014404296875	0.00843303787716	2.90855407715
164.935	0.00830078125	0.00920909368497	2.90733337402
164.94	0.00830078125	0.00970472524495	2.9061126709
164.945	0.004638671875	0.00952047734027	2.90733337402
164.95	0.011962890625	0.00903585514653	2.9061126709
164.955	0.011962890625	0.00899975029701	2.90855407715
164.96	0.024169921875	0.0100919058527	2.90733337402
164.965	0.0448455810547	0.0136174913836	2.9061126709
164.97	0.0813903808594	0.0218459217556	2.9061126709
164.975	0.0691833496094	0.0346313274963	2.90733337402
164.98	0.106948852539	0.0496004577385	2.9061126709
164.985	0.134948730469	0.0670942924896	2.9061126709
164.99	0.155624389648	0.0878810851023	2.90489196777
164.995	0.164169311523	0.110045154183	2.9061126709
165	0.193389892578	0.131886899661	2.9061126709
165.005	0.177520751953	0.151897842842	2.9061126709
165.01	0.187286376953	0.1676501714	2.9061126709
165.015	0.119079589844	0.175423765659	2.90733337402
165.02	0.0546112060547	0.169022340254	2.90733337402
165.025	0.016845703125	0.145993925718	2.90733337402
165.03	-0.00627136230469	0.111512667484	2.90733337402
165.035	-0.0111541748047	0.0736611834693	2.90733337402
165.04	-0.0172576904297	0.0393383059094	2.90733337402
165.045	-0.0282440185547	0.0117891405592	2.90855407715
165.05	-0.0245819091797	-0.00847132435915	2.90733337402
165.055	-0.0294647216797	-0.0218027028249	2.90733337402
165.06	-0.0196990966797	-0.0290973300234	2.90855407715
165.065	-0.0209197998047	-0.0314575062979	2.90733337402
165.07	-0.0428161621094	-0.0316275817272	2.90733337402
165.075	-0.0975952148438	-0.0352927621754	2.90855407715
165.08	-0.114685058594	-0.0468531693072	2.90855407715
165.085	-0.0562438964844	-0.0615711667565	2.90733337402
165.09	0.177520751953	-0.0597386433242	2.90855407715
165.095	0.724166870117	-0.000622785964321	2.90489196777
165.1	1.36701965332	0.166632714825	2.9012298584
165.105	1.8832244873	0.464552569456	2.89878845215
165.11	1.91488647461	0.850503933564	2.89878845215
165.115	1.35244750977	1.2093201288	2.9012298584
165.12	0.693725585938	1.40775951417	2.90367126465
165.125	0.192169189453	1.38084607379	2.9061126709
165.13	-0.0354919433594	1.16090176943	2.90733337402
165.135	-0.113464355469	0.838868687548	2.90855407715
165.14	-0.149932861328	0.506672169206	2.90977478027
165.145	-0.186477661133	0.222128843457	2.9109954834
165.15	-0.201126098633	0.00779805487081	2.91213989258
165.155	-0.195022583008	-0.135207315582	2.9109954834
165.16	-0.188919067383	-0.216576651076	2.9109954834
165.165	-0.192581176758	-0.251942015177	2.90855407715
165.17	-0.185256958008	-0.257874625101	2.90977478027
165.175	-0.182815551758	-0.247617672813	2.90977478027
165.18	-0.195022583008	-0.231291182485	2.90855407715
165.185	-0.176788330078	-0.215164760041	2.90855407715
165.19	-0.170684814453	-0.200711705425	2.90733337402
165.195	-0.163360595703	-0.188006424697	2.90855407715
165.2	-0.149932861328	-0.176928419961	2.90855407715
165.205	-0.123153686523	-0.165882780587	2.90733337402
165.21	-0.111022949219	-0.153241478351	2.9061126709
