Vernier Format 2
Untitled.cmbl 3/17/2022 11:25:28 .
Latest
Time	Potential 1	EKG	Potential 2
59.12	-0.0659332275391	-0.108235619734	3.15826416016
59.125	-0.0805816650391	-0.0994592624427	3.15826416016
59.13	-0.0842437744141	-0.091152693064	3.15826416016
59.135	-0.0695953369141	-0.0849478385982	3.15704345703
59.14	-0.0464782714844	-0.0786725878967	3.15826416016
59.145	-0.0525817871094	-0.0709936135393	3.15582275391
59.15	-0.0562438964844	-0.0637068905789	3.15826416016
59.155	-0.0403747558594	-0.0578450538317	3.15582275391
59.16	-0.0172576904297	-0.0514040256399	3.15460205078
59.165	0.002197265625	-0.0421042609473	3.15582275391
59.17	0.0363006591797	-0.0286799270234	3.15582275391
59.175	-0.00627136230469	-0.0136241642245	3.15460205078
59.18	-0.0196990966797	-0.00351828534227	3.15460205078
59.185	-0.00749206542969	-0.00035131245087	3.15460205078
59.19	-0.00627136230469	-0.000618238755587	3.15460205078
59.195	0.014404296875	-0.00089517930334	3.15460205078
59.2	0.0363006591797	0.00184810081003	3.15460205078
59.205	0.01806640625	0.00770341635731	3.15338134766
59.21	0.005859375	0.0127734323893	3.15460205078
59.215	0.009521484375	0.0147231686628	3.15460205078
59.22	0.025390625	0.0152853528908	3.15460205078
59.225	0.0411834716797	0.0174230200487	3.15338134766
59.23	0.0350799560547	0.0218486820728	3.15338134766
59.235	0.0436248779297	0.0271425656849	3.15460205078
59.24	0.0314178466797	0.0318302724992	3.15338134766
59.245	0.025390625	0.0343447260419	3.15216064453
59.25	0.0411834716797	0.0349356888706	3.15216064453
59.255	0.0838317871094	0.0376181087113	3.15338134766
59.26	0.0509490966797	0.0439806552636	3.15460205078
59.265	0.0411834716797	0.0494621324465	3.15338134766
59.27	0.0387420654297	0.0509682312526	3.15216064453
59.275	0.0472869873047	0.0499597079423	3.15093994141
59.28	0.0777282714844	0.0499806328111	3.15216064453
59.285	0.0923004150391	0.0543790461663	3.15216064453
59.29	0.0923004150391	0.062867524772	3.15216064453
